Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,5506976,5550205,5593772,5637681,5681936,5726537,5771489,5816793,5862453,5915097,5961429,6008025,6054887,6102014,6149410,6197074,6245009,6293216,6341696,6390450,6439480,6488787,6538372,6588237,6638384,6688813,6739527,6790525,6841811,6893384,6945247,6997501,7050147,7103190,7156632,7210476,7264724,7319381,7374450,7429932,7485594,7541434,7597452,7653649,7710023,7766574,7823302,7880207,7937288,7994544,8051251,8108123,8165159,8222358,8279720,8337244,8394930,8452778,8510786,8568954,8626947,8685000,8743110,8801275,8859495,8917766,8976089,9034461,9092879,9151344,9209852,9268401,9327332,9385850,9444368,9502883,9561000,9619180,9677303,9735776,9793627,9852803,9912337,9971361,10031414,10091633,10151747,10212386,10273156,10334055,10395083,10456239,10517524,10578936,10640474,10703852,10769324,10836914,10906648,10978551,11052649,11124024,11203481,11285604,11370425,11455883,11540437,11627173,11739647,11878505,12017344,12235360,12372713,12428136,12400339,12372604,12344931,12318807,12292367,12320814,12420035,12586695,12765947,12945861,13130082,13313641,13496206,13679433,13867299,14064443,14263905,14459061,14647590,14818226,14992508,15161488,15337757,15501767,15658488,15715809,15744966,15722767,15779756,15809576,15852981,15820841,15808913,15846354,15999429,16236000,16513000,16765000,17006000,17244000,17484000,17727000,17968000,18203000,18420000,18614000,18780000,18924000,19060000,19207000,19380000,19582000,19811000,20056000,20305000,20549000,20784000,21011000,21233000,21450000,21666000,21879000,22088000,22286000,22463000,22616000,22737000,22831000,22907000,22984000,23071000,23175000,23288000,23394000,23466000,23489000,23457000,23376000,23257000,23116000,22965000,22806000,22638000,22466000,22298000,22137000,21989000,21853000,21720000,21578000,21417000,21234000,21034000,20830000,20638000,20472000,20337000,20227000,20133000,20036000,19925000,19796000,19654000,19506000,19365000
Russia,31088398,31088398,31088398,31088398,31088398,31088398,31088398,31088398,31088398,31088398,31102068,31129536,31170930,31226376,31296006,31379950,31478340,31591308,31718992,31861526,32019048,32191694,32379606,32582924,32801792,33036352,33286748,33553128,33835640,34134432,34449652,34767784,35088852,35412888,35739916,36069960,36403056,36739228,37078504,37420912,37766484,38115248,38467228,38822464,39180976,39542800,39907968,40276504,40648444,41023820,41402024,41783716,42168928,42557688,42950032,43345996,43745608,44148904,44555920,44966688,45381240,45799616,46221848,46647972,47078028,47512048,47950064,48392124,48838256,49288504,49742900,50201488,50650040,51116992,51588244,52063844,52530516,53014800,53503552,53996808,54482336,54984616,55491528,55992072,56508272,57029228,57545264,58075780,58611192,59151536,59696860,60247212,60802640,61363184,61928900,62499832,63076024,63657532,64244400,64836676,65434412,66028360,66637088,67251424,67871424,68497136,69114992,69752168,70395224,71044208,71695136,72356096,73023160,73696368,74375784,75061464,75753464,76453416,77159440,77871984,78591112,79316880,80049344,80788576,81534632,82287584,83047480,83814400,84588400,85369552,86157912,86953552,87756544,88566944,89384840,90210280,91043344,91884104,92732624,93588984,94453248,95325496,96205792,97094224,97990864,98895776,99809056,100730760,101660976,102799000,104305000,105967000,107727000,109537000,111355000,113154000,114914000,116622000,118276000,119872000,121404000,122858000,124210000,125431000,126504000,127417000,128187000,128860000,129498000,130149000,130831000,131540000,132276000,133032000,133805000,134596000,135412992,136260000,137139008,138052992,138994000,139955008,140936000,141938000,142956992,143995008,145032992,146012992,146864000,147532000,147996000,148268992,148374000,148348992,148227008,148020992,147730000,147360992,146916000,146404992,145831008,145216000,144611008,144080992,143672000,143403008,143266000,143248992,143327008,143479008,143703008,143994000,144324992,144664992,144984992,145275008,145530000,145734000,145872000
Rwanda,928368,928368,928368,928368,928368,928368,928368,928368,928368,928368,928642,929191,930018,931124,932510,934180,936133,938372,940899,943716,946823,950225,953921,957913,962205,966797,971691,976889,982394,988207,994329,1000489,1006688,1012925,1019201,1025515,1031869,1038262,1044694,1051167,1057679,1064232,1070826,1077460,1084135,1090852,1097611,1104411,1111253,1118138,1125872,1133658,1141497,1149390,1157338,1165339,1173395,1181507,1189673,1197896,1206175,1214510,1222903,1231352,1239860,1248426,1257050,1265733,1274476,1283278,1292140,1301063,1309881,1318925,1328031,1337199,1346276,1355568,1364925,1374345,1383689,1393237,1402850,1412404,1422148,1431959,1441727,1451672,1461684,1471765,1481914,1492133,1502422,1512780,1523210,1533711,1544283,1554927,1565644,1576434,1587298,1598134,1609146,1620233,1631396,1642634,1653802,1665194,1676663,1688210,1699793,1711497,1723282,1735147,1747093,1759120,1771230,1781797,1792837,1803944,1815121,1826366,1837682,1849067,1860523,1872050,1883648,1895319,1907061,1918876,1930765,1942727,1954763,1966874,1979060,1991321,2003659,2016072,2028563,2041131,2053777,2066501,2079304,2092187,2105149,2118191,2131315,2144519,2157806,2186000,2251000,2314000,2380000,2450000,2527000,2610000,2696000,2782000,2863000,2936000,2998000,3053000,3105000,3164000,3236000,3322000,3421000,3530000,3643000,3757000,3871000,3987000,4106000,4232000,4365000,4506000,4655000,4813000,4979000,5153000,5329000,5505000,5691000,5903000,6147000,6444000,6780000,7088000,7277000,7289000,7084000,6702000,6264000,5936000,5836000,6013000,6420000,6963000,7501000,7934000,8231000,8427000,8557000,8681000,8840000,9043000,9274000,9525000,9783000,10039000,10293000,10550000,10812000,11084000,11369000,11669000,11981000,12302000,12627000
Saint Kitts and Nevis,17202,17202,17202,17202,17202,17202,17202,17202,17202,17202,17208,17221,17240,17265,17296,17334,17379,17430,17488,17553,17624,17702,17786,17878,17977,18082,18195,18314,18441,18575,18717,18859,19002,19147,19292,19439,19587,19736,19886,20037,20189,20343,20498,20653,20811,20969,21128,21289,21451,21614,21779,21945,22112,22281,22451,22622,22795,22969,23144,23321,23499,23678,23859,24041,24224,24409,24595,24783,24972,25163,25355,25548,25738,25935,26132,26332,26528,26731,26935,27140,27343,27552,27762,27970,28183,28398,28612,28830,29050,29272,29495,29720,29947,30176,30406,30638,30872,31107,31344,31584,31825,32064,32309,32556,32804,33054,33302,33556,33812,34070,34329,34591,34855,35121,35389,35659,35931,36204,36479,36756,37036,37317,37601,37887,38175,38466,38758,39053,39350,39649,39950,40254,40560,40869,41179,41493,41808,42126,42446,42769,43094,43422,43752,44085,44420,44758,45098,45441,45787,46000,46000,46000,47000,48000,48000,49000,50000,51000,51000,51000,51000,51000,51000,50000,49000,48000,47000,46000,46000,45000,44000,44000,44000,44000,44000,44000,44000,44000,43000,43000,43000,43000,42000,42000,42000,41000,41000,41000,40000,40000,40000,41000,41000,42000,42000,42000,43000,43000,44000,44000,45000,45000,46000,46000,47000,47000,48000,48000,49000,49000,49000,50000,50000,51000,51000,52000,52000,52000,53000
Saint Lucia,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24014,24041,24082,24137,24206,24290,24388,24501,24629,24775,24944,25135,25348,25585,25846,26131,26440,26774,27133,27519,27935,28368,28820,29290,29780,30289,30818,31368,31938,32531,33123,33689,34284,34869,35443,36057,36626,37181,37722,38343,38846,39324,39864,40276,40687,41034,41423,41856,42333,42856,43425,44042,44708,45423,46190,46919,47572,48146,48642,49058,49620,49845,49965,49979,49885,49790,49697,49603,49589,49548,49719,50022,50327,50634,50943,51254,51557,51864,52173,52589,53114,53749,54392,55042,55701,56367,57041,57724,58414,59113,59820,60535,61259,61992,62733,63484,64243,65012,65789,66576,67372,68178,68994,69819,71381,73719,76876,80168,83000,84000,85000,85000,86000,86000,87000,88000,88000,89000,90000,91000,92000,93000,95000,96000,98000,99000,101000,103000,104000,105000,106000,107000,108000,110000,111000,113000,114000,116000,118000,119000,121000,123000,124000,126000,128000,131000,133000,136000,138000,140000,142000,143000,145000,147000,149000,151000,153000,155000,157000,158000,159000,161000,162000,163000,165000,168000,170000,172000,174000,176000,177000,178000,178000,179000,180000,181000,182000,183000
Saint Vincent and the Grenadines,25781,25781,25781,25781,25781,25781,25781,25781,25781,25781,25787,25799,25817,25841,25872,25908,25951,26000,26055,26117,26185,26259,26339,26426,26520,26620,26726,26839,26959,27085,27217,27351,27485,27620,27755,27891,28028,28165,28303,28442,28581,28723,28869,29017,29168,29323,29480,29641,29804,29971,30142,30324,30517,30722,30940,31169,31411,31665,31933,32213,32506,32815,33137,33473,33823,34187,34566,34959,35367,35791,36230,36659,37089,37503,37896,38269,38705,39049,39369,39664,40056,40295,40501,40780,40901,41033,41084,41204,41385,41628,41935,42306,42741,43243,43813,44450,45030,45493,45840,46070,46182,46501,46337,46027,45571,44967,44353,43765,43185,42764,42295,42238,42436,42634,42834,43034,43236,43437,43640,43843,44107,44433,44822,45213,45608,46007,46409,46815,47224,47636,48188,48883,49724,50580,51450,52336,53237,54153,55085,56032,56997,57978,58975,59990,61022,62122,63290,64529,65792,67000,68000,69000,71000,72000,74000,75000,77000,78000,80000,81000,82000,83000,84000,85000,86000,87000,88000,89000,90000,91000,91000,93000,94000,95000,96000,97000,98000,99000,100000,101000,101000,102000,103000,104000,105000,105000,106000,107000,107000,107000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,108000,109000,109000,109000,109000,108000,108000,108000,108000,108000,109000,109000,109000,109000,110000,110000,111000
Samoa,47292,47284,47276,47268,47260,47252,47244,47236,47228,47220,47212,47203,47195,47187,47179,47171,47163,47155,47147,47139,47131,47123,47115,47107,47099,47091,47083,47075,47067,47059,47051,47043,47035,47027,47019,47011,47003,46995,46987,46979,46956,46917,46864,46795,46712,46614,46502,46375,46233,46077,45910,45729,45533,45324,45100,44863,44613,44349,44071,43780,43476,43174,42874,42576,42280,41987,41695,41405,41118,40832,40548,40267,39980,39702,39427,39153,38875,38605,38337,38070,37801,37538,37277,37014,36757,36501,36244,35992,35742,35494,35247,35003,34759,34518,34278,34119,34041,34046,34135,34308,34567,34713,35131,35597,36111,36577,37221,37523,37726,37848,37998,37931,37729,37528,37327,37128,36930,36730,36532,36335,36461,36914,37700,38503,39323,40333,41544,42966,44436,45957,47529,49156,50838,52577,54377,56005,57451,58704,59984,61292,62629,63994,65390,66816,68651,70918,73642,76471,79408,82000,84000,87000,89000,92000,94000,97000,99000,102000,105000,109000,112000,116000,120000,123000,127000,131000,134000,137000,140000,143000,145000,147000,149000,150000,151000,152000,153000,154000,155000,156000,156000,157000,158000,159000,160000,161000,161000,161000,162000,163000,164000,165000,167000,169000,170000,171000,172000,173000,174000,174000,175000,176000,177000,179000,180000,181000,182000,183000,185000,186000,187000,189000,191000,192000,194000,195000,195000,196000,197000
San Marino,5492,5492,5492,5492,5492,5492,5492,5492,5492,5492,5494,5497,5502,5509,5518,5528,5540,5554,5570,5588,5607,5628,5651,5676,5703,5732,5762,5795,5829,5865,5903,5942,5981,6020,6059,6098,6138,6178,6218,6259,6300,6341,6382,6424,6466,6508,6550,6593,6636,6679,6723,6766,6810,6854,6899,6944,6989,7034,7080,7126,7172,7219,7266,7313,7360,7408,7456,7505,7554,7603,7652,7702,7751,7801,7852,7903,7953,8005,8057,8109,8161,8214,8267,8320,8374,8429,8483,8538,8593,8649,8705,8762,8819,8876,8934,8992,9050,9109,9168,9228,9288,9347,9408,9469,9531,9593,9654,9717,9780,9843,9907,9972,10036,10102,10167,10233,10300,10367,10434,10502,10571,10640,10709,10779,10849,10920,10991,11063,11135,11208,11281,11354,11428,11503,11578,11653,11729,11805,11882,11960,12038,12116,12195,12275,12355,12435,12516,12598,12680,13000,13000,13000,13000,14000,14000,14000,14000,15000,15000,15000,16000,16000,17000,17000,18000,18000,18000,19000,19000,19000,19000,19000,20000,20000,20000,20000,20000,21000,21000,21000,22000,22000,22000,23000,23000,23000,23000,24000,24000,24000,24000,25000,25000,26000,26000,26000,27000,27000,27000,27000,28000,28000,29000,29000,29000,30000,30000,30000,31000,31000,32000,32000,33000,33000,33000,34000,34000,34000,34000
Sao Tome and Principe,22731,22731,22731,22731,22731,22731,22731,22731,22731,22731,22739,22755,22780,22813,22854,22903,22962,23028,23103,23187,23280,23381,23492,23611,23739,23877,24023,24179,24344,24518,24702,24887,25074,25261,25451,25641,25834,26027,26222,26419,26617,26816,27017,27220,27424,27629,27836,28045,28255,28467,28683,28901,29121,29343,29566,29791,30017,30245,30475,30707,30941,31176,31413,31652,31893,32135,32380,32626,32874,33124,33376,33630,33879,34137,34396,34658,34915,35181,35448,35718,35984,36258,36534,36807,37087,37369,37649,37935,38223,38514,38807,39102,39399,39699,40001,40305,40611,40920,41231,41545,41861,42175,42496,42819,43145,43473,43797,44131,44466,44804,45143,45486,45832,46181,46532,46886,47242,47595,47951,48311,48673,49038,49405,49775,50148,50524,50903,51284,51669,52056,52446,52839,53235,53634,54036,54441,54849,55260,55674,56091,56512,56935,57362,57792,58225,58661,59101,59544,59990,60000,59000,59000,58000,58000,59000,60000,61000,62000,64000,64000,65000,64000,64000,64000,65000,66000,68000,70000,73000,75000,76000,78000,79000,81000,83000,85000,88000,91000,93000,96000,98000,99000,101000,103000,105000,107000,110000,113000,116000,119000,122000,125000,127000,129000,132000,134000,136000,138000,140000,142000,145000,147000,150000,154000,157000,162000,166000,171000,176000,180000,185000,188000,192000,196000,199000,203000,207000,211000,215000
Saudi Arabia,2091000,2091000,2091000,2091000,2091000,2091000,2091000,2091000,2091000,2091000,2091223,2091668,2092338,2093231,2094349,2095692,2097261,2099055,2101077,2103325,2105802,2108506,2111439,2114601,2117993,2121614,2125467,2129551,2133866,2138414,2143195,2147986,2152788,2157601,2162424,2167258,2172103,2176959,2181826,2186704,2191592,2196492,2201402,2206323,2211256,2216199,2221154,2226119,2231096,2236084,2240867,2245661,2250466,2255280,2260105,2264940,2269786,2274641,2279507,2284384,2289372,2294472,2299685,2305011,2310451,2316005,2321674,2327458,2333358,2339375,2345508,2351760,2357580,2364102,2370755,2377538,2384174,2391318,2398608,2405920,2413191,2420548,2427927,2435273,2442697,2450143,2457564,2465056,2472571,2480108,2487669,2495252,2502859,2510489,2518142,2525818,2533518,2541241,2548987,2556758,2564552,2572327,2580168,2588034,2595923,2603836,2611713,2619674,2627660,2635670,2643687,2651745,2660736,2670667,2681542,2692462,2703426,2714784,2726103,2737468,2748881,2760342,2771850,2783406,2795011,2806664,2818365,2830115,2841915,2853763,2865661,2877608,2889605,2901653,2913750,2925898,2938096,2950346,2962646,2974998,2987401,2999856,3012363,3024922,3037534,3050198,3062914,3075684,3088507,3121000,3199000,3284000,3373000,3465000,3558000,3654000,3752000,3855000,3966000,4087000,4219000,4363000,4517000,4677000,4844000,5015000,5195000,5388000,5600000,5836000,6101000,6393000,6712000,7055000,7419000,7803000,8208000,8647000,9138000,9691000,10312000,10989000,11701000,12419000,13119000,13794000,14446000,15070000,15666000,16234000,16773000,17283000,17763000,18214000,18639000,19034000,19407000,19783000,20195000,20664000,21203000,21805000,22457000,23133000,23816000,24498000,25185000,25889000,26630000,27421000,28268000,29155000,30052000,30917000,31718000,32443000,33101000,33703000,34269000
Senegal,1009886,1009886,1009886,1009886,1009886,1009886,1009886,1009886,1009886,1009886,1010210,1010860,1011838,1013146,1014787,1016763,1019076,1021728,1024722,1028060,1031744,1035777,1040160,1044897,1049990,1055441,1061252,1067426,1073966,1080873,1088151,1095478,1102854,1110280,1117756,1125282,1132858,1140486,1148165,1155896,1163679,1171514,1179403,1187344,1195338,1203387,1211489,1219647,1227859,1236126,1244910,1253756,1262665,1271636,1280672,1289771,1298935,1308164,1317458,1326818,1336244,1345738,1355298,1364926,1374622,1384387,1394222,1404125,1414100,1424144,1434260,1444448,1454489,1464820,1475224,1485701,1496051,1506676,1517377,1528153,1538821,1549749,1560755,1571673,1582834,1594074,1605248,1616647,1628126,1639687,1651329,1663054,1674862,1686754,1698729,1710790,1722936,1735168,1747486,1759892,1772386,1784834,1797504,1810264,1823114,1836056,1848894,1862018,1875234,1888545,1901892,1915391,1928985,1942676,1956464,1970349,1984332,1997453,2010902,2024442,2038073,2051796,2065611,2079519,2093521,2107617,2121808,2136095,2150478,2164957,2179534,2194210,2208984,2223857,2238831,2253906,2269082,2284360,2299741,2315226,2330815,2346509,2362308,2378214,2394227,2410348,2426577,2442916,2459365,2487000,2545000,2607000,2671000,2738000,2808000,2882000,2958000,3038000,3121000,3207000,3295000,3387000,3482000,3580000,3683000,3789000,3900000,4014000,4133000,4258000,4388000,4523000,4661000,4797000,4930000,5057000,5182000,5307000,5439000,5583000,5740000,5910000,6090000,6277000,6471000,6671000,6876000,7087000,7304000,7526000,7756000,7990000,8227000,8461000,8690000,8913000,9131000,9348000,9569000,9798000,10036000,10284000,10541000,10810000,11090000,11382000,11687000,12005000,12335000,12678000,13034000,13402000,13782000,14175000,14578000,14994000,15419000,15854000,16296000
Serbia,2147197,2147197,2147197,2147197,2147197,2147197,2147197,2147197,2147197,2147197,2148100,2149913,2152645,2156305,2160899,2166436,2172925,2180375,2188792,2198187,2208568,2219943,2232321,2245711,2260122,2275563,2292043,2309572,2328158,2347810,2368539,2389451,2410548,2431831,2453302,2474963,2496814,2518859,2541098,2563534,2586168,2609001,2632036,2655275,2678719,2702369,2726229,2750299,2774582,2799079,2823690,2848519,2873565,2898832,2924320,2950033,2975972,3002139,3028536,3055165,3082029,3109128,3136466,3164044,3191865,3219930,3248242,3276803,3305616,3334681,3364002,3393581,3422539,3452632,3482990,3513615,3543688,3574847,3606280,3637989,3669221,3701483,3734030,3766183,3799298,3832704,3865807,3899798,3934088,3968679,4003575,4038777,4074289,4110113,4146252,4182709,4219486,4256587,4294014,4331770,4369858,4407713,4446469,4485566,4525006,4564793,4604100,4644582,4685421,4726618,4767932,4809855,4852147,4894810,4937849,4981266,5025064,5069492,5114251,5159406,5204959,5250914,5297275,5344045,5391228,5438828,5486848,5535292,5584164,5633467,5683205,5733383,5784004,5835071,5886590,5938563,5990995,6043890,6097253,6151086,6205395,6260183,6315455,6371214,6427467,6484215,6541465,6599221,6657486,6732000,6853000,6963000,7063000,7153000,7235000,7309000,7377000,7440000,7499000,7557000,7613000,7670000,7725000,7781000,7835000,7889000,7943000,7998000,8057000,8120000,8188000,8261000,8337000,8416000,8497000,8580000,8663000,8747000,8829000,8908000,8985000,9058000,9128000,9193000,9253000,9306000,9352000,9397000,9451000,9518000,9603000,9701000,9795000,9862000,9884000,9856000,9785000,9685000,9581000,9488000,9411000,9346000,9292000,9243000,9194000,9146000,9101000,9060000,9023000,8991000,8964000,8940000,8919000,8898000,8877000,8854000,8830000,8803000,8772000
Seychelles,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12524,12528,12534,12543,12553,12566,12580,12597,12616,12637,12660,12685,12712,12742,12773,12807,12843,12882,12922,12965,13009,13054,13100,13145,13190,13236,13282,13328,13374,13420,13466,13513,13560,13607,13654,13701,13748,13796,13844,13891,13939,13988,14036,14085,14133,14182,14231,14280,14330,14379,14429,14479,14529,14579,14630,14680,14731,14782,14833,14884,14936,14988,15039,15091,15143,15195,15247,15300,15353,15406,15459,15512,15566,15619,15674,15745,15802,15897,16014,16152,16312,16495,16701,16931,17184,17462,17768,18082,18406,18739,19082,19414,19776,20150,20534,20930,21316,21727,22146,22523,22920,23194,23388,23584,23781,23980,24181,24384,24588,24794,24996,25194,25389,25585,25783,25982,26183,26385,26589,26794,27073,27428,27859,28297,28743,29195,29654,30121,30595,31076,31565,32061,32566,33078,33598,34127,34664,35209,35763,36000,37000,37000,38000,39000,39000,39000,40000,40000,41000,42000,42000,43000,45000,46000,47000,48000,49000,50000,51000,52000,54000,55000,57000,58000,60000,61000,62000,64000,65000,66000,67000,68000,69000,69000,70000,70000,70000,70000,70000,71000,71000,73000,74000,75000,77000,78000,78000,79000,80000,81000,82000,84000,86000,87000,89000,90000,90000,90000,91000,91000,92000,93000,93000,94000,95000,96000,96000,97000,98000
Sierra Leone,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794518,795027,795794,796820,798107,799656,801469,803549,805896,808514,811402,814564,818001,821715,825708,829981,834537,839378,844505,849920,855625,861369,867152,872973,878833,884733,890672,896651,902670,908730,914830,920971,927154,933378,939644,945951,952302,958694,965130,971609,979225,986900,994633,1002426,1010279,1018192,1026165,1034200,1042297,1050455,1058676,1066961,1075308,1083720,1092196,1100737,1109344,1118016,1126755,1135561,1144434,1153376,1162212,1171289,1180436,1189653,1198780,1208137,1217566,1227067,1236493,1246139,1255859,1265521,1275388,1285332,1295235,1305330,1315502,1325752,1336081,1346488,1356974,1367541,1378189,1388918,1399728,1410622,1421598,1432659,1443803,1454925,1466239,1477641,1489129,1500704,1512210,1523962,1535803,1547735,1559711,1571825,1584032,1596331,1608724,1621212,1633794,1644192,1655229,1666341,1677527,1688788,1700125,1711538,1723028,1734594,1746239,1757961,1769762,1781643,1793603,1805643,1817765,1829967,1842252,1854619,1867069,1879603,1892220,1904923,1917711,1930584,1943544,1956591,1969726,1982948,1996260,2009661,2023152,2041000,2064000,2088000,2113000,2139000,2166000,2194000,2223000,2253000,2284000,2318000,2352000,2389000,2427000,2467000,2508000,2552000,2597000,2644000,2693000,2745000,2799000,2855000,2913000,2974000,3037000,3103000,3171000,3241000,3314000,3388000,3464000,3540000,3620000,3708000,3805000,3917000,4038000,4157000,4254000,4320000,4349000,4348000,4329000,4310000,4304000,4313000,4335000,4381000,4462000,4585000,4754000,4966000,5201000,5434000,5646000,5829000,5990000,6134000,6273000,6416000,6563000,6713000,6864000,7017000,7172000,7329000,7488000,7650000,7813000
Singapore,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30030,30091,30183,30307,30463,30653,30877,31136,31430,31761,32128,32533,32977,33460,33983,34547,35153,35802,36495,37232,38015,38814,39630,40463,41314,42182,43069,43975,44899,45843,46805,47786,48787,49806,50846,51906,52986,54088,55210,56355,57522,58711,59923,61158,62418,63703,65012,66346,67707,69094,70554,72089,73704,75402,77186,79059,81024,83087,85249,87515,89889,92376,94506,97227,100080,103068,105801,109106,112570,116144,119521,123316,127231,130973,135134,139429,143576,148143,152857,157723,162747,167934,173288,178816,184522,190410,196483,202748,209210,215875,222749,229471,236772,244302,252068,260082,267737,276248,285030,294092,303243,312883,322072,331378,340699,350352,360006,369665,379989,395975,414624,436937,453922,472572,490223,511204,531518,552832,574147,577477,579142,552166,539511,536847,566154,608116,654074,695703,729006,748655,770931,794458,821203,848848,877424,906961,934637,958465,986472,1022000,1068000,1120000,1178000,1240000,1305000,1373000,1440000,1508000,1572000,1633000,1690000,1741000,1789000,1835000,1878000,1919000,1959000,1997000,2035000,2072000,2111000,2150000,2190000,2226000,2260000,2289000,2315000,2341000,2373000,2412000,2461000,2518000,2581000,2644000,2706000,2762000,2817000,2873000,2937000,3013000,3101000,3200000,3306000,3416000,3526000,3638000,3752000,3861000,3955000,4029000,4077000,4104000,4129000,4177000,4266000,4402000,4579000,4776000,4967000,5131000,5264000,5369000,5454000,5526000,5592000,5654000,5708000,5758000,5804000
Slovakia,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2141023,2141768,2142888,2144383,2146256,2148508,2151139,2154152,2157548,2161328,2165494,2170047,2174988,2180319,2186042,2192157,2198667,2205572,2212874,2220574,2228675,2236805,2244964,2253154,2261373,2269622,2277902,2286211,2294551,2302921,2311322,2319754,2328216,2336709,2345233,2353788,2362375,2370992,2379642,2388322,2396877,2405463,2414079,2422726,2431404,2440114,2448854,2457626,2466429,2475264,2484130,2493028,2501958,2510920,2519914,2528940,2537998,2547089,2556213,2565369,2574558,2583779,2592920,2602207,2611528,2620882,2630165,2639586,2649041,2658529,2667958,2677514,2687104,2696646,2706305,2715998,2725654,2735417,2745215,2755048,2764916,2774819,2784758,2794732,2804743,2814789,2824871,2834989,2845143,2855334,2865561,2875761,2886061,2896399,2906773,2917184,2927542,2938028,2948551,2959112,2969685,2980321,2990996,3001709,3012460,3023250,3034078,3045213,3056322,3067471,3078661,3089892,3101163,3112476,3123830,3135226,3146663,3158141,3169662,3181225,3192829,3204476,3216166,3227898,3239673,3251491,3263353,3275257,3287205,3299196,3311231,3323310,3335434,3347601,3359813,3372069,3384370,3396716,3409107,3437000,3511000,3588000,3665000,3741000,3815000,3887000,3955000,4020000,4081000,4140000,4196000,4249000,4299000,4343000,4383000,4418000,4449000,4477000,4506000,4539000,4576000,4616000,4659000,4705000,4753000,4802000,4852000,4903000,4952000,4997000,5037000,5074000,5107000,5138000,5167000,5194000,5220000,5244000,5267000,5288000,5309000,5329000,5347000,5363000,5375000,5385000,5391000,5395000,5398000,5399000,5400000,5400000,5400000,5399000,5399000,5399000,5399000,5399000,5401000,5404000,5409000,5415000,5422000,5429000,5436000,5442000,5448000,5453000,5457000
Slovenia,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469862,470258,470856,471657,472662,473874,475293,476923,478765,480821,483092,485581,488289,491219,494372,497751,501357,505192,509259,513559,518095,522671,527287,531944,536642,541382,546163,550987,555853,560762,565715,570711,575751,580836,585966,591141,596362,601629,606943,612303,617713,623170,628675,634229,639832,645485,651188,656941,662744,668599,674506,680465,686477,692541,698660,704832,711059,717341,723678,730071,736521,743028,749399,756020,762699,769437,776055,782911,789828,796805,803679,810779,817942,825019,832308,839661,846948,854431,861979,869594,877277,885027,892846,900734,908691,916719,924818,932988,941231,949546,957935,966273,974810,983422,992110,1000875,1009535,1018454,1027451,1036528,1045632,1054869,1064189,1073590,1083075,1092644,1102297,1112031,1121852,1131760,1141756,1151840,1162013,1172275,1182629,1193073,1203611,1214241,1224965,1235783,1246698,1257708,1268816,1280022,1291327,1302732,1314238,1325845,1337555,1349368,1361285,1373308,1385437,1397673,1410017,1422470,1435033,1447707,1460493,1473000,1482000,1492000,1503000,1515000,1527000,1540000,1552000,1564000,1576000,1587000,1597000,1606000,1614000,1622000,1629000,1637000,1644000,1651000,1660000,1670000,1681000,1695000,1710000,1726000,1743000,1760000,1777000,1796000,1815000,1836000,1858000,1881000,1904000,1925000,1945000,1963000,1978000,1991000,2001000,2006000,2008000,2005000,2001000,1995000,1991000,1989000,1987000,1987000,1988000,1988000,1987000,1987000,1988000,1990000,1995000,2002000,2012000,2023000,2034000,2043000,2051000,2058000,2063000,2067000,2071000,2074000,2076000,2078000,2079000
